Order_id,Quantity,Year,Month,Weekdays,Order_Time, Cost_Price , Total_Sales ,Pizza_Size,Pizza_Category,Pizza_Name
1,1,2015,Jan,Thu,11:38:00, 13.25 , 13.25 ,M,Classic,The Hawaiian Pizza
2,1,2015,Jan,Thu,11:57:00, 16.00 , 16.00 ,M,Classic,The Classic Deluxe Pizza
3,1,2015,Jan,Thu,11:57:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
4,1,2015,Jan,Thu,11:57:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
5,1,2015,Jan,Thu,11:57:00, 16.00 , 16.00 ,M,Veggie,The Mexicana Pizza
6,1,2015,Jan,Thu,11:57:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
7,1,2015,Jan,Thu,12:12:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
8,1,2015,Jan,Thu,12:12:00, 20.75 , 20.75 ,L,Supreme,The Prosciutto and Arugula Pizza
9,1,2015,Jan,Thu,12:16:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
10,1,2015,Jan,Thu,12:21:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
11,1,2015,Jan,Thu,12:29:00, 12.75 , 12.75 ,S,Chicken,The Barbecue Chicken Pizza
12,1,2015,Jan,Thu,12:29:00, 12.00 , 12.00 ,S,Classic,The Greek Pizza
13,1,2015,Jan,Thu,12:50:00, 12.50 , 12.50 ,S,Supreme,The Spinach Supreme Pizza
14,1,2015,Jan,Thu,12:51:00, 12.50 , 12.50 ,S,Supreme,The Spinach Supreme Pizza
15,1,2015,Jan,Thu,12:52:00, 12.00 , 12.00 ,S,Classic,The Classic Deluxe Pizza
16,1,2015,Jan,Thu,12:52:00, 12.00 , 12.00 ,S,Veggie,The Green Garden Pizza
17,1,2015,Jan,Thu,12:52:00, 20.50 , 20.50 ,L,Classic,The Italian Capocollo Pizza
18,1,2015,Jan,Thu,12:52:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
19,1,2015,Jan,Thu,12:52:00, 12.50 , 12.50 ,S,Supreme,The Italian Supreme Pizza
20,1,2015,Jan,Thu,12:52:00, 12.00 , 12.00 ,S,Veggie,The Mexicana Pizza
21,1,2015,Jan,Thu,12:52:00, 20.75 , 20.75 ,L,Supreme,The Spicy Italian Pizza
22,1,2015,Jan,Thu,12:52:00, 20.75 , 20.75 ,L,Veggie,The Spinach Pesto Pizza
23,1,2015,Jan,Thu,12:52:00, 12.00 , 12.00 ,S,Veggie,The Vegetables + Vegetables Pizza
24,1,2015,Jan,Thu,13:00:00, 20.25 , 20.25 ,L,Veggie,The Mexicana Pizza
25,1,2015,Jan,Thu,13:00:00, 20.75 , 20.75 ,L,Chicken,The Southwest Chicken Pizza
26,1,2015,Jan,Thu,13:02:00, 20.75 , 20.75 ,L,Chicken,The Barbecue Chicken Pizza
27,1,2015,Jan,Thu,13:02:00, 20.75 , 20.75 ,L,Chicken,The California Chicken Pizza
28,1,2015,Jan,Thu,13:02:00, 16.75 , 16.75 ,M,Chicken,The California Chicken Pizza
29,1,2015,Jan,Thu,13:02:00, 15.25 , 15.25 ,L,Classic,The Pepperoni Pizza
30,1,2015,Jan,Thu,13:04:00, 20.75 , 20.75 ,L,Chicken,The California Chicken Pizza
31,1,2015,Jan,Thu,13:04:00, 12.75 , 12.75 ,S,Chicken,The California Chicken Pizza
32,1,2015,Jan,Thu,13:04:00, 20.75 , 20.75 ,L,Chicken,The Chicken Pesto Pizza
33,1,2015,Jan,Thu,13:04:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
34,1,2015,Jan,Thu,13:11:00, 20.25 , 20.25 ,L,Veggie,The Mexicana Pizza
35,1,2015,Jan,Thu,13:14:00, 12.00 , 12.00 ,S,Classic,The Greek Pizza
36,1,2015,Jan,Thu,13:33:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
37,1,2015,Jan,Thu,13:33:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
38,1,2015,Jan,Thu,13:33:00, 20.75 , 20.75 ,L,Supreme,The Soppressata Pizza
39,1,2015,Jan,Thu,13:33:00, 12.00 , 12.00 ,S,Classic,The Greek Pizza
40,1,2015,Jan,Thu,13:34:00, 17.95 , 17.95 ,L,Veggie,The Four Cheese Pizza
